"zipcode","state","population","popdens","lat","long","urban","suburban","rural","mturk","suv","region"
98226,"WA",10917,384.5472349,48.791,-122.464,0,0,1,1,0,1
30101,"GA",12553,1347.534077,34.032,-84.703,0,1,0,1,0,4
24558,"VA",13002,67.63640239,36.775,-78.966,0,0,1,1,0,4
78201,"TX",11313,6408.34512,29.473,-98.536,1,0,0,1,0,4
75904,"TX",9160,239.1616261,31.323,-94.806,0,0,1,1,0,4
98102,"WA",5371,15844.27481,47.636,-122.324,1,0,0,1,0,1
93728,"CA",3009,5144.771242,36.757,-119.817,1,0,0,1,0,1
91770,"CA",13425,9672.429907,34.063,-118.082,1,0,0,1,0,1
84663,"UT",7580,219.1154971,40.225,-111.492,0,0,1,1,0,2
27041,"NC",13901,128.0556026,36.413,-80.473,0,0,1,1,0,4
54902,"WI",5780,638.0096949,43.967,-88.493,0,0,1,1,0,3
46311,"IN",5390,1535.103245,41.461,-87.501,0,1,0,1,0,3
46208,"IN",5747,3314.307004,39.832,-86.177,1,0,0,1,0,3
94709,"CA",1684,20010.16949,37.88,-122.265,1,0,0,1,0,1
80011,"CO",11488,1925.395538,39.729,-104.785,0,1,0,1,0,2
1886,"MA",5675,725.173439,42.589,-71.442,0,0,1,1,0,5
90505,"CA",9568,6334.715026,33.804,-118.352,1,0,0,1,0,1
2895,"RI",10910,5321.18863,41.998,-71.499,1,0,0,1,0,5
22903,"VA",9794,505.4740182,38.003,-78.609,0,0,1,1,0,4
18062,"PA",6267,1143.239437,40.503,-75.587,0,1,0,1,0,5
NA,NA,NA,NA,NA,NA,0,0,0,1,1,5
37076,"TN",9354,1290.003662,36.143,-86.59,0,1,0,1,1,4
6250,"CT",10633,285.2662722,41.782,-72.207,0,0,1,1,1,5
80031,"CO",9138,4025.14828,39.878,-105.044,1,0,0,1,1,2
21209,"MD",6769,3732.722144,39.367,-76.67,1,0,0,1,1,4
37042,"TN",13545,1097.343391,36.56,-87.407,0,1,0,1,1,4
2053,"MA",2014,1105.025997,42.153,-71.427,0,1,0,1,1,5
78681,"TX",12331,2328.854119,30.52,-97.728,0,1,0,1,1,4
85249,"AZ",9597,2672.556119,33.226,-111.785,0,1,0,1,1,2
97213,"OR",7418,7214.567901,45.538,-122.601,1,0,0,1,1,1
23320,"VA",12393,1588.377798,36.764,-76.199,0,1,0,1,1,4
98030,"WA",9109,4742.837079,47.362,-122.198,1,0,0,1,1,1
93446,"CA",11153,104.814655,35.651,-120.744,0,0,1,1,1,1
33417,"FL",7406,4338.690476,26.726,-80.132,1,0,0,1,1,4
73632,"OK",7974,16.95643584,35.231,-98.862,0,0,1,1,1,4
59901,"MT",11638,109.9135166,48.052,-113.864,0,0,1,1,1,2
5443,"VT",13173,58.68453536,44.157,-73.031,0,0,1,1,1,5
32966,"FL",2971,53.68652512,27.649,-80.652,0,0,1,1,1,4
85250,"AZ",3055,1690.329437,33.524,-111.904,0,1,0,1,1,2
98512,"WA",7175,187.208838,46.945,-123.054,0,0,1,1,1,1
23226,"VA",3026,2678.813559,37.584,-77.518,0,1,0,1,1,4
77479,"TX",14214,2253.901996,29.558,-95.634,0,1,0,1,1,4
95630,"CA",14172,2617.113851,38.665,-121.145,0,1,0,1,1,1
61554,"IL",11162,626.4836265,40.548,-89.614,0,0,1,1,1,3
98087,"WA",7581,5381.687612,47.867,-122.263,1,0,0,1,1,1
8055,"NJ",6956,678.1187625,39.864,-74.812,0,0,1,1,1,5
99004,"WA",3793,54.68884855,47.421,-117.642,0,0,1,1,1,1
59901,"MT",11638,109.9135166,48.052,-113.864,0,0,1,1,1,2
90045,"CA",9975,3679.403541,33.955,-118.402,1,0,0,1,1,1
16415,"PA",14711,376.0438633,42.034,-80.227,0,0,1,1,1,5
37353,"TN",10414,122.6358696,35.127,-84.972,0,0,1,1,1,4
82001,"WY",9394,601.8317503,41.142,-104.779,0,0,1,1,1,2
78644,"TX",3413,91.5282392,29.889,-97.667,0,0,1,1,1,4
4062,"ME",3398,362.3589525,43.792,-70.406,0,0,1,1,1,5
23805,"VA",4087,265.893588,37.118,-77.406,0,0,1,1,1,4
92807,"CA",9497,3374.160448,33.851,-117.788,1,0,0,1,1,1
8070,"NJ",2133,636.7137981,39.631,-75.505,0,0,1,1,1,5
40033,"KY",1878,86.17562949,37.538,-85.251,0,0,1,1,1,4
65233,"MO",1649,83.71244635,38.9,-92.72,0,0,1,1,1,3
40205,"KY",6104,3392.26361,38.222,-85.676,1,0,0,1,1,4
72015,"AR",6987,333.5409796,34.535,-92.622,0,0,1,1,1,4
97035,"OR",6158,3965.505804,45.411,-122.724,1,0,0,1,1,1
28715,"NC",6328,315.5989216,35.513,-82.714,0,0,1,1,1,4
68355,"NE",11754,33.79378718,40.131,-95.532,0,0,1,1,1,3
12866,"NY",9599,550.8057296,43.05,-73.754,0,0,1,1,1,5
36867,"AL",5742,1709.776751,32.491,-85.031,0,1,0,1,1,4
26505,"WV",9868,2955.182927,39.65,-79.946,0,1,0,1,1,4
28540,"NC",11606,477.248062,34.73,-77.498,0,0,1,1,1,4
18104,"PA",11113,1871.688312,40.616,-75.544,0,1,0,1,1,5
57103,"SD",9228,2870.940883,43.544,-96.694,0,1,0,1,1,3
78006,"TX",7039,88.37791033,29.898,-98.719,0,0,1,1,1,4
37803,"TN",8754,324.7000923,35.667,-83.981,0,0,1,1,1,4
28562,"NC",9498,233.6649012,35.071,-77.114,0,0,1,1,1,4
68510,"NE",5311,3524.742268,40.806,-96.651,1,0,0,1,1,3
37128,"TN",9901,721.1919304,35.799,-86.491,0,0,1,1,1,4
56721,"MN",1030,53.53128314,48.019,-96.965,0,0,1,1,1,3
97026,"OR",8274,106.8029115,45.115,-122.938,0,0,1,1,1,1
15236,"PA",7515,2677.837838,40.35,-79.977,0,1,0,1,1,5
64505,"MO",2164,291.4950166,39.823,-94.849,0,0,1,1,1,3
80206,"CO",5577,8748.373984,39.731,-104.953,1,0,0,1,1,2
10312,"NY",12765,7721.875,40.542,-74.179,1,0,0,1,1,5
93306,"CA",13493,733.3598274,35.426,-118.866,0,0,1,1,1,1
15122,"PA",5204,1596.431404,40.363,-79.902,0,1,0,1,1,5
17408,"PA",5815,870.6769826,39.944,-76.804,0,0,1,1,1,5
24019,"VA",6780,856.8380213,37.342,-79.955,0,0,1,1,1,4
84414,"UT",6781,1627.194598,41.317,-111.962,0,1,0,1,1,2
72634,"AR",10520,36.39906469,36.207,-92.526,0,0,1,1,1,4
34210,"FL",3057,1733.769063,27.449,-82.643,0,1,0,1,1,4
92019,"CA",11039,1586.517691,32.78,-116.877,0,1,0,1,1,1
78664,"TX",12453,3196.376812,30.501,-97.63,1,0,0,1,1,4
83401,"ID",9749,242.9357563,43.499,-111.641,0,0,1,1,1,2
64037,"MO",12890,61.44469977,39.047,-93.667,0,0,1,1,1,3
75501,"TX",9515,381.2815126,33.367,-94.236,0,0,1,1,1,4
28379,"NC",6751,170.1792854,34.93,-79.784,0,0,1,1,1,4
91722,"CA",9216,8331.476998,34.097,-117.907,1,0,0,1,1,1
20147,"VA",12539,2721.992954,39.04,-77.482,0,1,0,1,1,4
43952,"OH",3974,737.2291022,40.397,-80.676,0,0,1,0,0,3
15239,"PA",5453,1315.644556,40.481,-79.744,0,1,0,0,0,5
NA,NA,NA,NA,NA,NA,0,0,0,0,0,5
15217,"PA",6965,7144.356955,40.43,-79.92,1,0,0,0,0,5
15108,"PA",10771,1017.304282,40.509,-80.195,0,1,0,0,0,5
15218,"PA",2377,5844.303797,40.425,-79.892,1,0,0,0,0,5
15226,"PA",2418,5501.574803,40.399,-80.016,1,0,0,0,0,5
26505,"WV",9868,2955.182927,39.65,-79.946,0,1,0,0,0,4
15010,"PA",7238,568.1591045,40.77,-80.356,0,0,1,0,0,5
NA,NA,NA,NA,NA,NA,0,0,0,0,0,5
15135,"PA",11773,1223.571429,40.3,-79.808,0,1,0,0,0,5
15215,"PA",1967,2051.219512,40.505,-79.913,0,1,0,0,0,5
15090,"PA",5492,1003.882576,40.627,-80.079,0,1,0,0,0,5
15226,"PA",2418,5501.574803,40.399,-80.016,1,0,0,0,0,5
26547,"WV",4591,159.1426658,39.51,-79.821,0,0,1,0,0,4
15237,"PA",10973,1730.483271,40.546,-80.049,0,1,0,0,0,5
