ZIPA,ZIPN,RUCA2.0,COMMFLAG,STNAME
02053,2053.00,1.00,0.00,Massachusetts
02054,2054.00,1.00,0.00,Massachusetts
02055,2055.00,1.00,1.00,Massachusetts
02056,2056.00,1.00,0.00,Massachusetts
02059,2059.00,1.00,1.00,Massachusetts
02060,2060.00,1.00,1.00,Massachusetts
02061,2061.00,1.00,0.00,Massachusetts
02062,2062.00,1.00,0.00,Massachusetts
02065,2065.00,1.00,1.00,Massachusetts
02066,2066.00,1.00,0.00,Massachusetts
02067,2067.00,1.00,0.00,Massachusetts
02070,2070.00,1.00,1.00,Massachusetts
02071,2071.00,1.00,0.00,Massachusetts
02072,2072.00,1.00,0.00,Massachusetts
02081,2081.00,1.00,0.00,Massachusetts
02090,2090.00,1.00,0.00,Massachusetts
02093,2093.00,1.00,0.00,Massachusetts
02101,2101.00,1.00,1.00,Massachusetts
02102,2102.00,1.00,1.00,Massachusetts
02103,2103.00,1.00,1.00,Massachusetts
02104,2104.00,1.00,1.00,Massachusetts
02105,2105.00,1.00,1.00,Massachusetts
02106,2106.00,1.00,1.00,Massachusetts
02107,2107.00,1.00,1.00,Massachusetts
02108,2108.00,1.00,0.00,Massachusetts
02109,2109.00,1.00,0.00,Massachusetts
02110,2110.00,1.00,0.00,Massachusetts
02111,2111.00,1.00,0.00,Massachusetts
02112,2112.00,1.00,1.00,Massachusetts
02113,2113.00,1.00,0.00,Massachusetts
02114,2114.00,1.00,0.00,Massachusetts
02115,2115.00,1.00,0.00,Massachusetts
02116,2116.00,1.00,0.00,Massachusetts
02117,2117.00,1.00,1.00,Massachusetts
02118,2118.00,1.00,0.00,Massachusetts
02119,2119.00,1.00,0.00,Massachusetts
02120,2120.00,1.00,0.00,Massachusetts
02121,2121.00,1.00,0.00,Massachusetts
02122,2122.00,1.00,0.00,Massachusetts
02123,2123.00,1.00,1.00,Massachusetts
02124,2124.00,1.00,0.00,Massachusetts
02125,2125.00,1.00,0.00,Massachusetts
02126,2126.00,1.00,0.00,Massachusetts
02127,2127.00,1.00,0.00,Massachusetts
02128,2128.00,1.00,0.00,Massachusetts
02129,2129.00,1.00,0.00,Massachusetts
02130,2130.00,1.00,0.00,Massachusetts
02131,2131.00,1.00,0.00,Massachusetts
02132,2132.00,1.00,0.00,Massachusetts
02133,2133.00,1.00,1.00,Massachusetts
02134,2134.00,1.00,0.00,Massachusetts
02135,2135.00,1.00,0.00,Massachusetts
02136,2136.00,1.00,0.00,Massachusetts
02137,2137.00,1.00,1.00,Massachusetts
02138,2138.00,1.00,0.00,Massachusetts
02139,2139.00,1.00,0.00,Massachusetts
02140,2140.00,1.00,0.00,Massachusetts
02141,2141.00,1.00,0.00,Massachusetts
02142,2142.00,1.00,0.00,Massachusetts
02143,2143.00,1.00,0.00,Massachusetts
02144,2144.00,1.00,0.00,Massachusetts
02145,2145.00,1.00,0.00,Massachusetts
02148,2148.00,1.00,0.00,Massachusetts
02149,2149.00,1.00,0.00,Massachusetts
02150,2150.00,1.00,0.00,Massachusetts
02151,2151.00,1.00,0.00,Massachusetts
02152,2152.00,1.00,0.00,Massachusetts
02153,2153.00,1.00,0.00,Massachusetts
02155,2155.00,1.00,0.00,Massachusetts
